pickup,delivery,distance,equipment,weight,date,predicted_rate
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-01,855.3598922215263
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-02,856.9046186371362
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-03,858.4493450527461
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-04,859.9940714683562
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-05,861.5387978839661
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-06,863.0835242995761
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-07,864.6282507151861
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-08,866.1729771307962
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-09,867.717703546406
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-10,869.2624299620161
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-11,870.8071563776261
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-12,872.3518827932361
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-13,873.896609208846
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-14,875.4413356244561
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-15,876.986062040066
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-16,878.530788455676
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-17,880.075514871286
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-18,881.6202412868961
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-19,883.1649677025059
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-20,884.709694118116
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-21,886.254420533726
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-22,887.799146949336
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-23,889.3438733649459
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-24,890.888599780556
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-25,892.4333261961659
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-26,893.9780526117759
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-27,895.5227790273859
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-28,897.067505442996
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-29,898.6122318586058
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-30,900.1569582742159
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-31,901.7016846898259
